Error                          Corrected                     
jhve                           Jive                          
LASHU                          Lashu                         
uju                            Luju                          
Jeruu                          Jeru                          
Kelichqa                       Kelichqa                      
Dachalu                        Dachhalu                      
ViShi                          Vishi                         
phaguphe                       Phagubha                      
Kukhadu                        Khukhadu                      
gaes                           Gase                          
lPoRO                          Poro                          
Rupu                           Rupu                          
SUPISHO                        Supisho                       
Laetu                          Letu                          
sHURE                          Shure                         
Togeevahe                      Togeevahe                     
Golna                          Bolna                         
khaaeba                        Khaseva                       
PULAGO                         Bulugo                        
DOKOSHI                        Dokoshi                       
Lekha                          Likha                         
chijevo                        Chijevo                       
Dibupha                        Divupha                       
PhAKhU                         Phakhu                        
Ludhaobo                       Ludhabo                       
Romegi                         Rimegi                        
Kabuchhi                       Kabuchuhi                     
MIIKATI                        Mikati                        
Wishi                          Vishi                         
Shoig                          Shogi                         
nokeco                         Nukeso                        
tquho                          Duho                          
Gyruhe                         Giruhe                        
rEtAkATni                      Retakati                      
Beu                            Ben                           
pIHalU                         Pihalu                        
Chulu                          Churu                         
Dhaahenu                       Dhahena                       
Vuumoboba                      Vumoboba                      
Taol                           Daal                          
VVevi                          Vevi                          
Rotdevude                      Rotevude                      
Cuhti                          Chuti                         
Haa                            Haba                          
chaTo                          Chato                         
NNalu                          Nalu                          
Tonekhus                       Tonekhu                       
Dobbasi                        Dobasi                        
pevi                           Pevi                          
vaKhOKa                        Vakhoka                       
Lnaya                          Lonaya                        
Haashu                         Hashu                         
Pgo                            Pogo                          
KHOVA                          Khova                         
Vovvi                          Vovi                          
hhapanu                        Chhapanu                      
uchee                          Ghee                          
tihe                           Tihe                          
Roqa                           Rona                          
iVdona                         Vidona                        
iDeda                          Deda                          
Hepo                           Hapo                          
iBubazi                        Bubaji                        
Poem                           Prem                          
Kijicho                        Kijucho                       
Dopaar                         Dopahar                       
mEcHA                          Mecha                         
Lawaha                         Lovaha                        
Shemi                          Shemi                         
HEOT                           Heto                          
Bhejeji                        Bhajeji                       
Peeeru                         Pegera                        
Reqed                          Reke                          
Vekvo                          Vekho                         
meji                           Meji                          
xManuju                        Manuju                        
Kudoouba                       Kudoouba                      
jcIhaSUKA                      Jichasuka                     
Bhashi                         Bhashi                        
Doree                          Saree                         
SShivaje                       Shivaje                       
Borudha                        Boruda                        
kSikhi                         Sikhi                         
aHti                           Hati                          
Beva                           Peva                          
Wtupi                          Vupi                          
MIKATI                         Mikati                        
MOtibI                         Motibi                        
Ghanno                         Ghano                         
riukda                         Rikha                         
Shejuphab                      Shejupha                      
VAGHA                          Vagha                         
Moviha                         Mubiha                        
HEMKKU                         Hekhu                         
otja                           Lota                          
Heeka                          Heka                          
yAGo                           Yago                          
Rpo                            Rupo                          
Thagokke                       Thagoke                       
iGibita                        Gibita                        
Conogu                         Chonogu                       
ShUta                          Shute                         
PoMe                           Pome                          
ChItA                          Chita                         
maDI                           Madi                          
Rzshhemy                       Rzshhemy                      
GHAVAJE                        Ghavaje                       
ninukha                        Ninukha                       
HHucha                         Chucha                        
legudhu                        Kegudu                        
Vao                            Vapo                          
bikHAgHA                       Bikhagha                      
JJemedi                        Jemedi                        
kESi                           Kesi                          
lajubi                         Lajubi                        
Shupakho                       Shupekha                      
hKucho                         Kucho                         
BIPEMI                         Bipemi                        
kabuchuhi                      Kabuchuhi                     
SUKIBE                         Sukibe                        
shejupha                       Shejupha                      
Coje                           Moje                          
RAMESh                         Ramesh                        
Lovvi                          Lovi                          
Chhadavicho                    Chhadavecho                   
aaddh                          Aath                          
am                             Ram                           
Lonno                          Lono                          
VEka                           Veka                          
Zmua                           Bua                           
Lezigoz                        Lezigoz                       
dechu                          Dechu                         
Vulloholo                      Vuloholo                      
hCorippehe                     Choripehe                     
JJima                          Jima                          
Kaucha                         Kacha                         
Kemho                          Kemcho                        
Bikhaghaa                      Bikhagha                      
Hupobi                         Habobi                        
RUNAJHA                        Runajha                       
Gauya                          Guya                          
fosht                          Voshu                         
HadHA                          Hadha                         
vivo                           Vevo                          
shalikitu                      Dhalikitu                     
Nnto                           Nato                          
Moppo                          Mopo                          
Sapi                           Sapi                          
Sulo                           Sulo                          
jira                           Jira                          
iNbi                           Nibi                          
Saaht                          Saat                          
Psihavidu                      Pishavidu                     
SSishego                       Sishego                       
Bokheja                        Bochija                       
ghAtU                          Ghatu                         
Haauvise                       Hasuvise                      
kano                           Kano                          
Nibighai                       Mibighapi                     
POjAChu                        Pojachu                       
dOHe                           Dohe                          
Juus                           Jusu                          
MUNE                           Mune                          
namken                         Namkeen                       
CHHAVaRetU                     Chhavaretu                    
Nuuvuta                        Nuvuta                        
Nachuchi                       Machuchi                      
raKALRo                        Rakalo                        
Riji                           Riju                          
Leyo                           Leya                          
Vhachhadha                     Bhachhadha                    
Ruddo                          Rudo                          
qBado                          Bado                          
Guutu                          Gutu                          
Nozha                          Nodha                         
fotte                          Joote                         
Soppha                         Sopha                         
pEVipA                         Pevipa                        
Caho                           Kaho                          
Ssave                          Save                          
Baca                           Bama                          
Shesuh                         Shesu                         
loothabo                       loothabo                      
Bachukoshoo                    Bachukoshoo                   
Vanee                          Vane                          
huA                            Bua                           
chuchhacha                     Chuchhacha                    
Mljo                           Mojo                          
NUGOSO                         Nugoso                        
RUdO                           Rudo                          
muphq                          Mupha                         
chubli                         Chubeli                       
Kekiyya                        Kekiya                        
Leppota                        Lepota                        
Gaky                           Gaay                          
Suube                          Sube                          
Tieokhu                        Tirokhu                       
machha                         Machha                        
Rikha                          Rikha                         
Moporro                        Moporo                        
Lovaaha                        Lovaha                        
Ghamta                         Ghanta                        
NANHWWU                        Nanhu                         
JAmHU                          Jakhu                         
yKhukaja                       Khukaja                       
shesigu                        Shesigu                       
Tibuo                          Tibo                          
QHUVniBO                       QHUVniBO                      
KHAKU                          Khaku                         
Vume                           Vame                          
Movlocha                       Movochu                       
Vmaso                          Vimaso                        
usne                           Usha                          
hepogu                         Hepoja                        
aCHUshE                        Rachushe                      
richhatha                      Richhatha                     
PIMISIDA                       Pimisida                      
Nnikhi                         Nikhi                         
KiYA                           Kiya                          
Bovha                          Bobha                         
Kava                           Kavo                          
Nominoju                       Nominiju                      
Pohagha                        Pipagha                       
kishelimo                      Kishelimo                     
Ganaakho                       Ganakho                       
Mruo                           Muro                          
Dda                            Doda                          
KDARE                          Kare                          
xhoThA                         Chotha                        
Bebbham                        Bebha                         
sHIhADAtha                     Shihadatha                    
MMALkUKHA                      Malukha                       
Kejju                          Keju                          
Jidee                          Jide                          
ekishe                         Gekishe                       
DHABOTE                        Dhabote                       
Taacheko                       Tasheko                       
Ghoju                          Khoju                         
Chinu                          Chinu                         
Huipoyave                      Hipoyave                      
Noi                            Nomi                          
OPKUPO                         Pokupo                        
Nidykhajha                     Nidikhajha                    
regosha                        Regosha                       
Luthabu                        Ludhabo                       
Chokhashii                     Chokhashi                     
RIjHa                          Rijha                         
bENjO                          Benjo                         
Vemi                           Vemu                          
Jomun                          Jamun                         
POKME                          Poke                          
tika                           Tika                          
Gelibatha                      Jelibatha                     
Jjunoho                        Junoho                        
vhajo                          Bhajo                         
HHepelo                        Hepelo                        
kaahina                        Khina                         
Shuqe                          Shuke                         
Kute                           Kude                          
Boraana                        Boraana                       
Jgei                           Jegi                          
Chuchahcha                     Chuchhacha                    
Phamiili                       Phamili                       
Maagha                         Mogha                         
Saa                            Sau                           
Tharee                         Thare                         
Dhojo                          Chojo                         
Channndh                       Channndh                      
DHABI                          Dhabi                         
lukhevi                        Sukhivi                       
Juglae                         Jugale                        
mubaji                         Mubaji                        
Nksa                           Nisa                          
Luri                           Lure                          
ZOVARUKE                       Juvaruke                      
Nugofzo                        Nugoso                        
zzhano                         Shano                         
RIVIJA                         Rivija                        
NUDO                           Nudo                          
GATOTE                         Gatote                        
Zujapee                        Jujape                        
MuRA                           Mura                          
YAcho                          Yacho                         
uhe                            Huhe                          
Pibo                           Pebo                          
Lali                           Lalu                          
iPchi                          Pichi                         
Tuvshuru                       Tushuru                       
tHasHuhU                       Thashuhu                      
PPivojuhi                      Pivojuhi                      
Khaunnema                      Khaunnema                     
Pireru                         Piretu                        
Rrnnuajhe                      Rrnnuajhe                     
RRode                          Rode                          
Sihekini                       Sihekine                      
naYaRU                         Nayaru                        
Shkeoso                        Shekoso                       
Kabeodshi                      Kabedoshi                     
viPATejHA                      Vipatejha                     
Jhovi                          Chovi                         
thonoo                         Thano                         
uBhe                           Buhe                          
Veeti                          Veti                          
pooha                          Posha                         
Vmoshi                         Moshi                         
Pihoo                          Puho                          
Lydozu                         Lidosu                        
CHACHHI                        Chachi                        
Hawa                           Hawa                          
Vodahpi                        Vodhapi                       
Lita                           Liti                          
Yolo                           Yalo                          
chaenti                        Chaneti                       
Vemosshi                       Vemoshi                       
Tabhosha                       Dabhasha                      
mate                           Mate                          
SiRUu                          Silu                          
lidani                         Lidani                        
paKAVU                         Pakavu                        
Kebaz                          Keba                          
Khachoba                       Khachobo                      
Rure                           Rure                          
KOHO                           Koha                          
uuTso                          Tuso                          
Lduhabo                        Ludhabo                       
LOkHi                          Lokhi                         
Chojatu                        Chojato                       
Tjirokhu                       Tirokhu                       
mUyavoSo                       Muyavoso                      
DUPEATDA                       Dupatta                       
Gafaukhi                       Gafaukhi                      
Sole                           Solu                          
Khichudahko                    Khichudakho                   
DAR                            Dar                           
Giloi                          Gili                          
GOkE                           Goke                          
rerokuso                       Rerokuso                      
hichosa                        Hichosa                       
Gemho                          Gekho                         
Shihovvi                       Shihovi                       
hipruu                         Hipu                          
naro                           Naro                          
oKga                           Koga                          
vejeeiyu                       vejeeiyu                      
aphaso                         Vaphaso                       
RRina                          Riya                          
Sichu                          Suchu                         
Vuraino                        Vurano                        
Bachhula                       Bachula                       
Gehamu                         Ghamu                         
khiju                          Khiju                         
Meayu                          Masu                          
Niphakceho                     Niphakecho                    
roho                           Roho                          
Rno                            Rano                          
Thapa                          Thapa                         
nakhudu                        Jakhudu                       
Rire                           Rire                          
AAVJO                          Aavjo                         
NUSU                           Nusu                          
Veeche                         Vecha                         
REKE                           Reke                          
aeka                           Veka                          
SEKHU                          Sekhu                         
Kuihau                         Kushu                         
Gapokkhi                       Gapokhi                       
ucho                           Kucho                         
aJdu                           Jadu                          
Vhaayakhi                      Bhayakhi                      
Phakkhukh                      Phakkhukh                     
KAKUVO                         Kakuvo                        
Vseka                          Veka                          
Chtoo                          Choto                         
BHADI                          Bhadi                         
LLohajo                        Loshajo                       
Vomuno                         Vamuno                        
SIHHU                          Sihu                          
Namer                          Namera                        
Jhakhaa                        Jhakha                        
Vashe                          Vasha                         
hoJeChU                        Hojechu                       
Nudhabhach                     Nudhabhacho                   
Lure                           Lure                          
Kopha                          Kobha                         
NimAAp                         Nimapa                        
eGlapi                         Gelapi                        
Nitho                          Niho                          
negi                           Negi                          
Nije                           Mije                          
Shena                          Shena                         
Rpe                            Repe                          
PHASARITO                      Phasarito                     
Sahadhaj                       Sahadhaji                     
Ravu                           Ravu                          
rurooyaa                       Ruroya                        
Thubo                          Thabo                         
Yoho                           Loho                          
gopu                           Gopu                          
Tykorr                         Tikoro                        
Noninjijuu                     Noninjijuu                    
Gahba                          Gaha                          
Shaulivota                     Shaulivota                    
hobi                           Hobi                          
Vame                           Vame                          
vasso                          Vacho                         
CHUSHORA                       Chushora                      
Chltha                         Chotha                        
Shoor                          Shoro                         
kevugha                        Kevugha                       
Sholivodda                     Sholivoda                     
hho                            Hoho                          
voka                           Vaka                          
denNo                          Deno                          
kunukhabi                      Kunukhabi                     
vebedHaJA                      Vebedhaja                     
Vihoyado                       Bihoyado                      
Bhue                           Buhe                          
Shdao                          Shado                         
ibhaa                          Bhai                          
dago                           Tago                          
koghachi                       Koghachi                      
Pakkavu                        Pakavu                        
Toltuaga                       Tolutaga                      
Vuro                           Vuro                          
Dhugudi                        Dogudi                        
Vagai                          Vagari                        
chavui                         Chavu                         
yBichu                         Bichu                         
Dlapha                         Dhapha                        
shija                          Shija                         
demi                           Demi                          
Thetha                         Tetha                         
Nahhe                          Nahe                          
Sli                            Sali                          
Tihdo                          Tudo                          
kagE                           Kage                          
MOTIBI                         Motibi                        
Hemo                           Hamo                          
jUGaDe                         Jugade                        
Thaho                          Thaha                         
Taga                           Tago                          
Velu                           Velu                          
BBate                          Bate                          
Dcuhi                          Duchi                         
avhashe                        Ghashe                        
Bhajikiphha                    Bhajikipha                    
Tirmaaga                       Tiramaga                      
Khlpa                          Khapa                         
Jeji                           Geji                          
Hipuu                          Hipu                          
Biina                          Bigina                        
Mujan                          Muja                          
Lasia                          Lasila                        
KAGO                           Kago                          
Badebe                         Bedebe                        
ShureKI                        Shureki                       
LUKHE                          Lushe                         
Jukhaa                         Jukha                         
judhagoje                      Judhagoje                     
Taschs                         Tashu                         
Viamne                         Vimane                        
Fune                           Vune                          
Recjhobha                      Rechobha                      
ZKAVASO                        Kavaso                        
hesa                           Hesa                          
Viv                            Vivu                          
Chhadaavecho                   Chhadavecho                   
Titi                           Teti                          
qKijo                          Kijo                          
Saapi                          Sapi                          
chachi                         Chachi                        
Daree                          Saree                         
DHAKa                          Dhaka                         
Taeha                          Tasha                         
Heab                           Heba                          
Likda                          Likha                         
zhemi                          Shemi                         
dhapochicho                    Dhapuchicho                   
RUSSIH                         Rushi                         
BHaTANO                        Bhatano                       
Ghoni                          Ghani                         
DALu                           Dalu                          
Shuzu                          Shusu                         
Hyshophva                      Hyshophva                     
tasi                           Tasi                          
Siure                          Shure                         
Loshyhove                      Loshihove                     
SEKO                           Seko                          
oRro                           Roro                          
Khhavoo                        Khhavoo                       
JObU                           Jobu                          
VEGI                           Vegi                          
DAKA                           Daka                          
Sehme                          Sheme                         
sekA                           Seka                          
Joprosi                        Joparosi                      
pEPElI                         Pepeli                        
Bucha                          Bacha                         
rODE                           Rode                          
Chibymu                        Chipimu                       
papanu                         Papanu                        
Bopi                           Topi                          
pIguri                         Piguri                        
Pacfhale                       Pachale                       
Shoso                          Shoso                         
THAJA                          Thaja                         
Lozuho                         Lojuhu                        
SHADA                          Shada                         
Doguu                          Doguhu                        
Jhaapo                         Jhapo                         
TISU                           Tisu                          
Shetharu                       Shedharu                      
Vukaa                          Vuka                          
Dukec                          Duke                          
Vooya                          Voya                          
Hedhxaje                       Hedhaje                       
Khuatcha                       Khutacha                      
eDkhi                          Dekhi                         
Suom                           Sumo                          
ePmo                           Pemo                          
pakavu                         Pakavu                        
eTberu                         Teberu                        
Miat                           Mita                          
Laafava                        Lapava                        
hOrANilI                       Horanili                      
sHupEkKhHA                     Shupekha                      
Tepee                          Tepe                          
Rauchu                         Rachu                         
Pege                           Peke                          
BUGU                           Bugu                          
ruvanivo                       Ruvanivo                      
Kuusa                          Kusa                          
Lihamorri                      Lihamori                      
Judi                           Judi                          
Yaachha                        Yachha                        
jhANa                          Jhana                         
Rahaa                          Rahe                          
Jhanudhei                      Jhanudehi                     
LUVI                           Luvi                          
diKhI                          Dikhi                         
Dsa                            Desa                          
Dokium                         Dokimu                        
Chbiudashi                     Chibudashi                    
sevo                           Sevo                          
Bhabbi                         Bhabi                         
Meyasbo                        Meyasho                       
Dhimag                         Dimag                         
Pokupa                         Pokupo                        
Shhiha                         Shiha                         
uKrsi                          Kursi                         
KHAKHII                        Khakhi                        
Chharii                        Chhari                        
Yachah                         Yachha                        
TOCHo                          Tocho                         
Vurushu                        Vurashu                       
Keelu                          Kelu                          
PPHADA                         Phada                         
Khavi                          Khavi                         
VODU                           Vodu                          
wTaki                          Taki                          
Kikhassotha                    Kikhasotha                    
Geanakho                       Ganakho                       
Yli                            Yali                          
DHAVU                          Dhavu                         
Teho                           Teho                          
BISIDO                         Bisido                        
mopo                           Mopo                          
Djeu                           Deju                          
pochow                         Pocha                         
Narunelii                      Narunelii                     
VHABOTIVY                      Bhabotivi                     
Defa                           Desa                          
Leuvo                          Leluvo                        
VOHU                           Vohu                          
sOro                           Soro                          
Gihauv                         Gihavu                        
Wennunugha                     Venunugha                     
Dna                            Dana                          
Yiakhi                         Yakhi                         
Ruloja                         Lulaja                        
Ralebu                         Relebu                        
LICHA                          Licha                         
JUCHU                          Juchu                         
Pesgemo                        Pesemo                        
Tiikha                         Tikha                         
RAMA                           Rama                          
hKiya                          Kiya                          
Gofo                           Goto                          
Ghjaugo                        Ghajugo                       
Bushasho                       Behasho                       
Speda                          Seda                          
Vmoraa                         Vora                          
CHOyO                          Choto                         
Suru                           Suro                          
Monik                          Moni                          
riSha                          Risha                         
AHMEDDABOD                     Ahmedabad                     
Churumokke                     Churumoke                     
Mlioru                         Miloru                        
Kita                           Keta                          
Majete                         Majeti                        
Moba                           Mopa                          
jjeBhU                         Jeshu                         
Lagiga                         Lajiga                        
RENO                           Reno                          
Ganakkho                       Ganakho                       
Alvdia                         Alvida                        
Dicy                           Diso                          
vevI                           Vevi                          
moje                           Moje                          
MACLII                         Machli                        
Yaba                           Yabi                          
aHndvo                         Handvo                        
Viiyacha                       Viyacha                       
Khako                          Chako                         
Nueme                          Nuseme                        
Gachogunni                     Gachoguni                     
Ceu                            Sau                           
Juvi                           Guvi                          
ShEmU                          Shemu                         
pHAKhU                         Phakhu                        
mukeni                         Kukeni                        
VVuje                          Vuje                          
Kovita                         Kavita                        
Chodaa                         Shodha                        
shpeapi                        Shepapi                       
GACHANU                        Gachanu                       
Tichuree                       Tichuree                      
fSucho                         Vucho                         
iphains                        Bhains                        
Uem                            Aam                           
Zugade                         Jugade                        
JUGHA                          Jugha                         
VADOdArA                       Vadodara                      
Robi                           Ropi                          
Lavu                           Labu                          
Ghaghe                         Ghashe                        
SIVEKKU                        Siveku                        
Tba                            Daba                          
Shipune                        Shibune                       
mapi                           Mapi                          
vagarii                        Vagari                        
huzhe                          Huhe                          
BHATURA                        Bhatura                       
Rodh                           Rode                          
BHANUVE                        Bhanuve                       
CHADO                          Chado                         
Sheppo                         Shepo                         
Joopi                          Jopi                          
Khasuu                         Khasu                         
eTjo                           Tejo                          
Chaluthashi                    Charuthashi                   
potamo                         Potamo                        
LIDUTU                         Lidutu                        
Levurjishhe                    Levurjishhe                   
LOVU                           Lovu                          
Redodu                         Ridodu                        
HDati                          Hati                          
DINO                           Dino                          
ggeeetha                       ggeeetha                      
Dikheneku                      Dikemeku                      
BADO                           Bado                          
SitejOPu                       Sitejopu                      
Mitgti                         Mitti                         
NIda                           Nida                          
LEGA                           Lega                          
thesehu                        Tesehu                        
Khuvvo                         Khuvivo                       
Bartaan                        Bartan                        
Dijatena                       Digatena                      
gapa                           Gapa                          
Uwha                           Usha                          
nun                            Nune                          
Chogato                        Chojato                       
Heprlo                         Hepelo                        
Gira                           Gira                          
Neuro                          Neguro                        
Jane                           Kane                          
tuhega                         Tuhega                        
Musee                          Muse                          
khove                          Khove                         
nilu                           Nilu                          
Chakhu                         Chakhu                        
Hassho                         Hasho                         
DOBIHAGHA                      Dobihagha                     
Muzho                          Mushu                         
CHAYAKEJHA                     Chayakejha                    
Phavabee                       Phavabe                       
LEGyAACHI                      Leghachi                      
biKO                           Biko                          
padhadeli                      Padhadeli                     
Beerile                        Berile                        
Khurore                        Khulore                       
NUDOR                          Nudo                          
nbhhainns                      nbhhainns                     
seKA                           Seka                          
Jurakhhira                     Jurakhila                     
Bujhoza                        Bujhasa                       
VUTEME                         Vuteme                        
Chivaa                         Chiva                         
Lygho                          Lokho                         
PUNILE                         Punile                        
Limotho                        Limuto                        
Machucho                       Machuchi                      
ibhado                         Bhado                         
Jitupi                         Jetubi                        
CHEPk                          Chapu                         
lhoothu                        lhoothu                       
nuko                           Nuko                          
Mathera                        Matera                        
Bache                          Bacha                         
DHAKO                          Dhako                         
DhAook                         Dhako                         
GGikivilo                      Gikivilo                      
Havu                           Hevu                          
